# Time breakdown, svc=frontend, type=all

     processing_lat    queueing_lat  total_lat
mean     122 (0.3%)   40109 (99.7%)      40249
std       88 (0.5%)  18669 (100.0%)      18661
p50       78 (0.2%)   46949 (99.5%)      47171
p90      248 (0.4%)   58359 (99.9%)      58441
p95      276 (0.5%)   61110 (99.9%)      61190
p99      329 (0.5%)   65699 (99.9%)      65782

# Time breakdown, svc=frontend, type=non_err_svc_er

     processing_lat   queueing_lat  total_lat
mean     169 (0.6%)  28546 (99.4%)      28729
std       89 (0.5%)  17018 (99.7%)      17070
p50      193 (0.6%)  33740 (99.3%)      33961
p90      270 (0.6%)  47451 (99.5%)      47672
p95      296 (0.6%)  48735 (99.5%)      48967
p99      345 (0.7%)  49438 (99.6%)      49627

# Time breakdown, svc=frontend, type=err_svc_er

     processing_lat   queueing_lat  total_lat
mean      59 (0.1%)  55303 (99.8%)      55387
std       31 (0.7%)  4402 (100.1%)       4398
p50       51 (0.1%)  54407 (99.9%)      54484
p90       97 (0.2%)  61595 (99.9%)      61674
p95      116 (0.2%)  63687 (99.9%)      63771
p99      165 (0.2%)  67772 (99.9%)      67846

