# Time breakdown, svc=profile, type=all

     processing_lat queueing_lat  total_lat
mean    175 (52.2%)  147 (43.9%)        335
std      35 (23.8%)  140 (95.2%)        147
p50     169 (56.3%)  105 (35.0%)        300
p90     219 (45.2%)  290 (59.9%)        484
p95     235 (41.8%)  361 (64.2%)        562
p99     276 (36.6%)  549 (72.7%)        755

# Time breakdown, svc=profile, type=non_err_svc_er

     processing_lat queueing_lat  total_lat
mean    176 (52.2%)  147 (43.6%)        337
std      32 (28.1%)  107 (93.9%)        114
p50     169 (56.1%)  105 (34.9%)        301
p90     219 (45.2%)  291 (60.1%)        484
p95     234 (41.6%)  363 (64.6%)        562
p99     273 (36.1%)  550 (72.7%)        757

# Time breakdown, svc=profile, type=err_svc_er

     processing_lat queueing_lat  total_lat
mean    111 (43.2%)  112 (43.6%)        257
std      94 (13.1%)  692 (96.4%)        718
p50      91 (39.4%)   87 (37.7%)        231
p90     248 (54.6%)  187 (41.2%)        454
p95     290 (56.2%)  252 (48.8%)        516
p99     357 (55.1%)  462 (71.3%)        648

