# Time breakdown, svc=user, type=all

     processing_lat queueing_lat  total_lat
mean     90 (24.4%)  271 (73.4%)        369
std      16 (30.2%)   51 (96.2%)         53
p50      90 (24.8%)  262 (72.2%)        363
p90     110 (25.6%)  331 (77.2%)        429
p95     116 (25.5%)  366 (80.4%)        455
p99     134 (25.5%)  429 (81.7%)        525

# Time breakdown, svc=user, type=non_err_svc_er

     processing_lat queueing_lat  total_lat
mean     90 (24.4%)  271 (73.4%)        369
std      16 (30.2%)   51 (96.2%)         53
p50      90 (24.8%)  262 (72.2%)        363
p90     110 (25.6%)  331 (77.2%)        429
p95     116 (25.5%)  366 (80.4%)        455
p99     134 (25.5%)  429 (81.7%)        525

# Time breakdown, svc=user, type=err_svc_er

Empty DataFrame
Columns: []
Index: []

