# Time breakdown, svc=geo, type=all

     compute_lat    io_lat  total_lat
mean   3 (33.3%)  0 (0.0%)          9
std    1 (25.0%)  0 (0.0%)          4
p50    3 (33.3%)  0 (0.0%)          9
p90    5 (41.7%)  0 (0.0%)         12
p95    5 (35.7%)  0 (0.0%)         14
p99    8 (25.8%)  0 (0.0%)         31

# Time breakdown, svc=geo, type=non_err_svc_er

     compute_lat    io_lat  total_lat
mean   3 (33.3%)  0 (0.0%)          9
std    1 (25.0%)  0 (0.0%)          4
p50    3 (33.3%)  0 (0.0%)          9
p90    5 (41.7%)  0 (0.0%)         12
p95    5 (35.7%)  0 (0.0%)         14
p99    8 (25.8%)  0 (0.0%)         31

# Time breakdown, svc=geo, type=err_svc_er

Empty DataFrame
Columns: []
Index: []

