# Time breakdown, svc=profile, type=all

      compute_lat       io_lat  total_lat
mean  178 (52.0%)  151 (44.2%)        342
std    29 (16.5%)  172 (97.7%)        176
p50   175 (56.6%)  109 (35.3%)        309
p90   215 (44.5%)  293 (60.7%)        483
p95   226 (40.5%)  361 (64.7%)        558
p99   249 (33.0%)  554 (73.5%)        754

# Time breakdown, svc=profile, type=non_err_svc_er

      compute_lat       io_lat  total_lat
mean  178 (51.9%)  151 (44.0%)        343
std    28 (15.9%)  172 (97.7%)        176
p50   176 (57.0%)  109 (35.3%)        309
p90   215 (44.5%)  293 (60.7%)        483
p95   226 (40.4%)  362 (64.8%)        559
p99   249 (33.0%)  555 (73.6%)        754

# Time breakdown, svc=profile, type=err_svc_er

      compute_lat       io_lat  total_lat
mean   99 (46.5%)   85 (39.9%)        213
std    79 (51.3%)   95 (61.7%)        154
p50    88 (37.8%)   90 (38.6%)        233
p90   213 (54.9%)  187 (48.2%)        388
p95   230 (50.3%)  235 (51.4%)        457
p99   250 (45.6%)  419 (76.5%)        548

