# Time breakdown, svc=reservation, type=all

      compute_lat          io_lat  total_lat
mean   794 (2.6%)   29534 (97.3%)      30359
std    819 (5.5%)  15329 (102.3%)      14991
p50    501 (1.6%)   29280 (96.2%)      30421
p90   2079 (4.1%)   50095 (99.7%)      50229
p95   2541 (4.8%)   53158 (99.7%)      53299
p99   3475 (6.0%)   58252 (99.8%)      58384

# Time breakdown, svc=reservation, type=non_err_svc_er

      compute_lat          io_lat  total_lat
mean  1055 (4.7%)   21397 (95.2%)      22481
std    830 (7.6%)  10902 (100.4%)      10856
p50    785 (3.5%)   21529 (95.0%)      22672
p90   2334 (6.3%)   35755 (97.2%)      36782
p95   2717 (6.8%)   38890 (97.8%)      39769
p99   3602 (8.1%)   44052 (99.1%)      44455

# Time breakdown, svc=reservation, type=err_svc_er

      compute_lat         io_lat  total_lat
mean   239 (0.5%)  46841 (99.4%)      47116
std    423 (6.7%)  6450 (102.9%)       6267
p50    108 (0.2%)  47336 (99.7%)      47497
p90    554 (1.0%)  54812 (99.7%)      54956
p95   1133 (2.0%)  56966 (99.7%)      57109
p99   2245 (3.7%)  61021 (99.8%)      61156

