trial,objective,is_best,init_price,latency_threshold_us,price_freq,price_step_up,price_update_rate_ms,token_update_rate_ms,token_update_step,tokens_left_init
0,1163.6614922814654,True,0,5000,3,8,10,10,100,100
1,2105.036741589566,True,599,6141,3,20,10,1,27142,52
2,2930.448404611084,True,810,22002,3,19,10,1,295612,14
3,2572.930898225216,False,993,36399,3,20,10,1,361750,277412
4,2022.9135273469526,False,870,27015,3,14,10,3,1790,11
5,2334.427984143384,False,553,14384,3,1,10,1,359044,4937
6,931.5842537205473,False,219,2095,3,13,10,4,4693,1135
7,1485.802137630715,False,755,15202,3,8,10,3,20,2811
8,1832.8870927506205,False,346,18274,3,16,10,18,25095,109364
9,2912.7772857668356,False,712,10070,3,1,10,1,376,304
