trial,objective,is_best,init_price,latency_threshold_us,price_freq,price_step_up,price_update_rate_ms,token_update_rate_ms,token_update_step,tokens_left_init
0,1723.0212267003226,True,0,5000,3,8,10,10,100,100
1,3087.9095676429656,True,599,6141,3,20,10,1,27142,52
2,3352.689666289178,True,810,22002,3,19,10,1,295612,14
3,-445.02661182661325,False,993,36399,3,20,10,1,361750,277412
4,2336.462818082413,False,870,27015,3,14,10,3,1790,11
5,2647.8279789225317,False,528,13423,3,1,10,1,362161,5723
6,659.9379130994075,False,207,2317,3,13,10,4,11,1728
7,3037.5221733296225,False,731,15742,3,7,10,3,7961,1433
8,1593.7781903483362,False,361,17805,3,16,10,20,1163,90385
9,3392.06537757682,True,758,8558,3,4,10,1,66049,217
