# Time breakdown, svc=reservation, type=all

     processing_lat    queueing_lat  total_lat
mean     789 (2.2%)   35225 (97.7%)      36055
std      853 (6.6%)  13275 (102.6%)      12939
p50      516 (1.4%)   36876 (97.3%)      37888
p90     2101 (4.1%)   50984 (99.7%)      51139
p95     2583 (4.8%)   54066 (99.8%)      54196
p99     3619 (6.1%)   59469 (99.7%)      59620

# Time breakdown, svc=reservation, type=non_err_svc_er

     processing_lat   queueing_lat  total_lat
mean    1192 (4.4%)  25893 (95.5%)      27117
std      870 (8.0%)  10808 (99.7%)      10840
p50      929 (3.2%)  27911 (95.6%)      29189
p90     2497 (6.3%)  38368 (96.8%)      39618
p95     2896 (7.0%)  40410 (97.1%)      41638
p99     3831 (8.6%)  44097 (98.5%)      44791

# Time breakdown, svc=reservation, type=err_svc_er

     processing_lat   queueing_lat  total_lat
mean     364 (0.8%)  45082 (99.1%)      45495
std      586 (8.6%)  7061 (103.4%)       6831
p50       97 (0.2%)  45159 (99.2%)      45541
p90     1182 (2.2%)  54165 (99.8%)      54298
p95     1707 (3.0%)  56741 (99.8%)      56872
p99     2594 (4.2%)  61283 (99.8%)      61414

