# Service breakdown relative to frontend (mean)

            compute_lat          io_lat       total_lat
service                                                
frontend            130  33558 (100.0%)  33704 (100.0%)
search              208     1506 (4.5%)     1726 (5.1%)
profile             178      151 (0.4%)      342 (1.0%)
reservation         794   29534 (88.0%)   30359 (90.1%)
geo                   3        0 (0.0%)        9 (0.0%)
rate                598        0 (0.0%)      608 (1.8%)
user                 93      280 (0.8%)      381 (1.1%)

# Service breakdown relative to frontend (p50)

            compute_lat          io_lat       total_lat
service                                                
frontend             91  35229 (100.0%)  35422 (100.0%)
search              195     1365 (3.9%)     1594 (4.5%)
profile             175      109 (0.3%)      309 (0.9%)
reservation         501   29280 (83.1%)   30421 (85.9%)
geo                   3        0 (0.0%)        9 (0.0%)
rate                567        0 (0.0%)      576 (1.6%)
user                 93      271 (0.8%)      375 (1.1%)

# Service breakdown relative to frontend (p90)

            compute_lat          io_lat       total_lat
service                                                
frontend            246  56018 (100.0%)  56090 (100.0%)
search              277     2072 (3.7%)     2280 (4.1%)
profile             215      293 (0.5%)      483 (0.9%)
reservation        2079   50095 (89.4%)   50229 (89.6%)
geo                   5        0 (0.0%)       12 (0.0%)
rate                732        0 (0.0%)      743 (1.3%)
user                113      336 (0.6%)      439 (0.8%)

# Service breakdown relative to frontend (p95)

            compute_lat          io_lat       total_lat
service                                                
frontend            270  58955 (100.0%)  59029 (100.0%)
search              294     2328 (3.9%)     2545 (4.3%)
profile             226      361 (0.6%)      558 (0.9%)
reservation        2541   53158 (90.2%)   53299 (90.3%)
geo                   5        0 (0.0%)       14 (0.0%)
rate                792        0 (0.0%)      804 (1.4%)
user                119      375 (0.6%)      463 (0.8%)

# Service breakdown relative to frontend (p99)

            compute_lat          io_lat       total_lat
service                                                
frontend            320  63739 (100.0%)  63804 (100.0%)
search              319     2889 (4.5%)     3094 (4.8%)
profile             249      554 (0.9%)      754 (1.2%)
reservation        3475   58252 (91.4%)   58384 (91.5%)
geo                   8        0 (0.0%)       31 (0.0%)
rate                908        0 (0.0%)      925 (1.4%)
user                132      437 (0.7%)      522 (0.8%)

