rps,masa,fifo,relative
300,16644,17598,105
325,16611,17699,106
350,17423,18510,106
375,17641,18962,107
400,17461,18923,108
425,18076,19941,110
450,18385,20587,111
475,18107,20657,114
500,19356,21907,113
525,19430,22818,117
550,19951,23758,119
575,20293,24298,119
600,21144,25987,122
625,22163,27650,124
650,23338,29167,124
675,25505,32356,126
700,27534,35292,128
725,29702,37951,127
750,32523,43223,132
775,37866,49294,130
800,42834,57160,133
825,55017,73378,133
850,71497,102148,142
875,100657,136004,135
900,172979,247527,143
