request_id,graph_id,slo,latency
788028435,I4_1,50000,19189
289409497,I4_1,50000,18988
540080811,I4_1,50000,18675
633425067,I4_1,50000,17789
816378510,I4_1,50000,17702
602320322,I4_1,50000,19856
966585180,I4_1,50000,21301
888157802,I4_1,50000,21271
31541682,I4_1,50000,20213
973893628,I4_1,50000,20991
682635060,I4_1,50000,17549
590070117,I4_1,50000,20427
382987480,I4_1,50000,21283
290680598,I4_1,50000,23409
139352417,I4_1,50000,17279
662566389,I4_2,200000,65680
410040070,I4_1,50000,17282
511033281,I4_1,50000,17537
339601358,I4_1,50000,17784
699986636,I4_1,50000,19963
367464396,I4_1,50000,18581
676952011,I4_1,50000,19653
275989879,I4_2,200000,67374
659157403,I4_1,50000,17508
859355089,I4_2,200000,70215
157366098,I4_1,50000,19175
137484249,I4_2,200000,67822
911556995,I4_1,50000,19390
839413505,I4_1,50000,18401
861032216,I4_1,50000,20535
719533658,I4_1,50000,20291
696428807,I4_1,50000,18293
444427713,I4_1,50000,18810
349681733,I4_1,50000,17997
553576249,I4_2,200000,65655
547784693,I4_1,50000,23692
485418505,I4_1,50000,25026
776070350,I4_1,50000,26279
328455310,I4_1,50000,24038
450180939,I4_2,200000,66818
163399618,I4_1,50000,24049
762154231,I4_1,50000,22171
547163146,I4_1,50000,20636
501125575,I4_1,50000,20092
349046827,I4_1,50000,18970
195940533,I4_1,50000,19155
992053561,I4_1,50000,17951
226718733,I4_1,50000,22248
800289877,I4_1,50000,24458
809467474,I4_2,200000,74644
79604930,I4_1,50000,22045
338956881,I4_1,50000,21309
793371175,I4_1,50000,20849
294120965,I4_1,50000,23019
852677263,I4_1,50000,22553
801267886,I4_1,50000,25876
124539023,I4_1,50000,25018
826863402,I4_1,50000,27145
455963564,I4_2,200000,68435
911174885,I4_1,50000,28031
470083738,I4_1,50000,28153
626637793,I4_1,50000,30092
632689552,I4_1,50000,28131
757830240,I4_1,50000,28053
107868992,I4_1,50000,27518
28290385,I4_1,50000,27546
325326786,I4_1,50000,29355
471703788,I4_1,50000,28465
760582577,I4_1,50000,30238
156825095,I4_1,50000,24799
334848703,I4_1,50000,25233
321161976,I4_1,50000,24827
102955956,I4_1,50000,26901
703494342,I4_1,50000,27887
196749552,I4_1,50000,28916
308951066,I4_1,50000,28669
294133894,I4_2,200000,95039
617762928,I4_1,50000,28148
212261526,I4_1,50000,27559
468456947,I4_1,50000,27213
335596529,I4_2,200000,92858
734469377,I4_1,50000,27119
735709682,I4_1,50000,27202
137184985,I4_1,50000,26951
808958019,I4_2,200000,83258
568241703,I4_1,50000,30935
906678743,I4_1,50000,33443
398619228,I4_1,50000,33943
976166559,I4_2,200000,83092
851447345,I4_1,50000,34600
102122437,I4_1,50000,34017
280348406,I4_1,50000,34259
993009338,I4_1,50000,34950
583556761,I4_1,50000,35607
37154493,I4_1,50000,33978
645068970,I4_1,50000,34196
447612643,I4_1,50000,32620
414895992,I4_1,50000,34259
199905473,I4_1,50000,32718
724723159,I4_2,200000,95653
296644056,I4_1,50000,33595
262386046,I4_1,50000,34687
152394461,I4_1,50000,32599
686590116,I4_1,50000,32576
365462505,I4_1,50000,33489
651672011,I4_1,50000,35541
251518765,I4_1,50000,34472
348157826,I4_1,50000,34890
715296093,I4_1,50000,32891
256763107,I4_1,50000,33656
973985809,I4_2,200000,94035
708637100,I4_1,50000,33543
613589873,I4_1,50000,30517
976841972,I4_1,50000,31333
449851780,I4_1,50000,33091
642027726,I4_1,50000,30047
179109131,I4_1,50000,32100
122017933,I4_1,50000,25815
220114474,I4_2,200000,99598
845880202,I4_1,50000,26304
511918361,I4_1,50000,25727
410805808,I4_1,50000,24477
206406172,I4_1,50000,30141
465199433,I4_1,50000,30068
134096734,I4_2,200000,93050
356694729,I4_2,200000,93367
568046141,I4_1,50000,29133
710403662,I4_1,50000,28442
341060695,I4_1,50000,30123
559830057,I4_1,50000,31158
693128426,I4_1,50000,19382
278340301,I4_1,50000,21450
727104612,I4_1,50000,24573
171873699,I4_2,200000,98673
830617865,I4_1,50000,28680
614474570,I4_1,50000,24737
532792328,I4_1,50000,24206
13840286,I4_1,50000,23257
313154659,I4_2,200000,106967
832758062,I4_1,50000,27212
915223068,I4_1,50000,25821
702806516,I4_1,50000,24276
931721505,I4_1,50000,27913
301677170,I4_1,50000,25361
171590723,I4_1,50000,24320
992554749,I4_2,200000,98303
164402004,I4_2,200000,87208
759175983,I4_1,50000,28612
258850438,I4_1,50000,30591
781455524,I4_2,200000,88737
662385513,I4_1,50000,33698
897762300,I4_1,50000,29714
30083310,I4_1,50000,29214
296070927,I4_1,50000,28647
118356955,I4_1,50000,28480
205243601,I4_1,50000,30548
214735457,I4_1,50000,30895
170641718,I4_1,50000,27089
793832043,I4_1,50000,27724
820866665,I4_1,50000,25117
76707069,I4_2,200000,79717
508720988,I4_1,50000,24795
115976697,I4_1,50000,25347
424156791,I4_1,50000,24410
129578765,I4_1,50000,26551
599682885,I4_1,50000,27318
984778684,I4_2,200000,87566
27464679,I4_2,200000,83426
571402922,I4_1,50000,30720
27096201,I4_1,50000,28971
598923240,I4_1,50000,22067
13928655,I4_1,50000,22711
791084603,I4_1,50000,22726
568444142,I4_1,50000,24019
772580779,I4_2,200000,87925
748252072,I4_1,50000,24046
774718730,I4_1,50000,30190
672903119,I4_2,200000,78449
893619830,I4_1,50000,33553
710611608,I4_1,50000,33486
805058105,I4_1,50000,31842
822701501,I4_1,50000,31025
671752957,I4_1,50000,24940
187583576,I4_1,50000,23975
165226395,I4_1,50000,23836
832199720,I4_1,50000,20973
133487515,I4_1,50000,24049
517672259,I4_2,200000,80466
687214027,I4_1,50000,23971
904552894,I4_2,200000,87574
22086910,I4_1,50000,26189
121798644,I4_2,200000,87479
115512543,I4_1,50000,28252
96011482,I4_1,50000,25386
434828790,I4_1,50000,21151
297416662,I4_1,50000,25453
775962809,I4_2,200000,95212
896921072,I4_1,50000,24886
600619157,I4_1,50000,25060
937203575,I4_1,50000,21816
715285274,I4_2,200000,90869
205637034,I4_2,200000,81733
411272122,I4_1,50000,27257
301964623,I4_1,50000,28018
132181157,I4_1,50000,25043
931565349,I4_2,200000,83866
612399876,I4_1,50000,29185
76052664,I4_2,200000,86897
409325384,I4_2,200000,82159
664408745,I4_1,50000,29235
542801626,I4_1,50000,30201
647282045,I4_1,50000,31075
419079575,I4_1,50000,33143
353752652,I4_1,50000,32089
43223401,I4_1,50000,32703
633949543,I4_1,50000,33239
560083949,I4_2,200000,71251
637051954,I4_2,200000,69319
546504315,I4_1,50000,32455
848870005,I4_1,50000,33286
777804708,I4_1,50000,35072
994380555,I4_1,50000,35309
820736913,I4_1,50000,36195
930079051,I4_1,50000,32761
314291376,I4_1,50000,32799
268416908,I4_1,50000,22641
714870063,I4_1,50000,21104
942286394,I4_2,200000,73147
426015097,I4_1,50000,21978
162114446,I4_1,50000,23286
578930586,I4_1,50000,22672
413058678,I4_1,50000,24744
74733664,I4_2,200000,80798
52954857,I4_1,50000,21564
737652231,I4_1,50000,19338
957838315,I4_1,50000,20737
411938437,I4_1,50000,21346
169149665,I4_1,50000,21426
356841025,I4_1,50000,21643
470601885,I4_1,50000,23224
881370701,I4_1,50000,21531
885941245,I4_1,50000,20202
12044412,I4_1,50000,20954
541802503,I4_1,50000,18042
222957151,I4_1,50000,19883
761623511,I4_1,50000,16878
815162440,I4_1,50000,18265
91058784,I4_2,200000,65003
551829693,I4_1,50000,16975
281380101,I4_1,50000,18610
798465369,I4_2,200000,69403
617196623,I4_1,50000,16901
400046153,I4_1,50000,17095
168931031,I4_1,50000,17183
950769262,I4_1,50000,17115
80849738,I4_1,50000,16970
287011836,I4_1,50000,18702
584838763,I4_1,50000,17008
546541532,I4_1,50000,17773
930254718,I4_1,50000,17047
864433705,I4_1,50000,17109
261943288,I4_1,50000,17136
709721491,I4_1,50000,17176
758062365,I4_1,50000,17862
77118163,I4_1,50000,17115
783288376,I4_1,50000,17096
365149810,I4_1,50000,17198
189410410,I4_1,50000,17457
922773257,I4_1,50000,17199
248726435,I4_1,50000,17288
685310038,I4_1,50000,18314
942558775,I4_1,50000,17046
969834253,I4_1,50000,19313
927759742,I4_1,50000,17043
496806322,I4_1,50000,17441
319059793,I4_1,50000,19687
878168851,I4_1,50000,19313
728027665,I4_1,50000,19027
579899657,I4_1,50000,18239
672293434,I4_2,200000,66228
755174886,I4_1,50000,17208
757033680,I4_1,50000,19138
693412072,I4_1,50000,17708
280034422,I4_1,50000,17886
459683597,I4_1,50000,18767
329881281,I4_1,50000,19640
771410412,I4_1,50000,17141
420868258,I4_1,50000,18033
717363612,I4_1,50000,17281
430361467,I4_1,50000,17090
807260397,I4_1,50000,17330
917236291,I4_1,50000,19359
204615047,I4_1,50000,17723
489055248,I4_1,50000,17187
49207841,I4_1,50000,17600
561158402,I4_1,50000,18067
214846978,I4_1,50000,17446
83068274,I4_2,200000,66181
526085716,I4_1,50000,17245
814500537,I4_1,50000,17339
623477343,I4_1,50000,18822
190492,I4_1,50000,20102
239020603,I4_1,50000,17024
712639436,I4_1,50000,17047
734854527,I4_1,50000,17912
761941915,I4_1,50000,17135
20578206,I4_1,50000,17088
660391372,I4_1,50000,18743
953892013,I4_1,50000,17182
463391717,I4_1,50000,16982
458367113,I4_1,50000,17230
238106776,I4_1,50000,19314
884564874,I4_2,200000,65130
187618140,I4_1,50000,18880
311809933,I4_1,50000,17109
927291674,I4_2,200000,66470
492651072,I4_1,50000,19929
884493661,I4_1,50000,21608
904122837,I4_1,50000,22887
520700092,I4_1,50000,19934
846027067,I4_1,50000,18545
217154608,I4_1,50000,17779
295645569,I4_2,200000,65235
275462066,I4_1,50000,18557
879823878,I4_1,50000,20563
552906636,I4_1,50000,21375
840691489,I4_2,200000,73214
843752984,I4_2,200000,69124
519339833,I4_1,50000,17569
170824152,I4_1,50000,20892
214071399,I4_2,200000,71392
563122797,I4_1,50000,23578
654306153,I4_1,50000,24684
862081052,I4_1,50000,23281
861743515,I4_1,50000,25405
436789846,I4_1,50000,20666
41815923,I4_1,50000,21594
955559302,I4_1,50000,23154
423400186,I4_1,50000,23570
677097372,I4_1,50000,22088
212353881,I4_1,50000,20114
736800020,I4_1,50000,22252
926308182,I4_1,50000,22572
494200326,I4_1,50000,18610
290347264,I4_2,200000,66080
195621181,I4_1,50000,22204
531073471,I4_1,50000,19233
248258406,I4_1,50000,20640
688515632,I4_1,50000,22452
257220020,I4_1,50000,27218
646153204,I4_2,200000,74008
276690147,I4_1,50000,32313
628197410,I4_1,50000,29587
567806940,I4_1,50000,26924
431006265,I4_1,50000,26127
480193507,I4_1,50000,24024
991567955,I4_1,50000,21988
508559753,I4_1,50000,21480
98102612,I4_1,50000,21083
484060104,I4_2,200000,82591
819376262,I4_1,50000,21702
73891436,I4_1,50000,21915
247749407,I4_1,50000,21291
701705231,I4_1,50000,21138
242617564,I4_2,200000,76617
578331773,I4_1,50000,26812
662916184,I4_2,200000,80475
79778278,I4_1,50000,27268
790174016,I4_1,50000,28978
366296414,I4_2,200000,74428
512246570,I4_1,50000,24251
996038678,I4_1,50000,23451
975801918,I4_1,50000,21206
727350196,I4_1,50000,20413
955752405,I4_1,50000,22306
130048373,I4_1,50000,21252
194540754,I4_2,200000,81807
356606506,I4_1,50000,19229
88843970,I4_1,50000,20565
998154067,I4_1,50000,21089
701426203,I4_1,50000,21215
357015474,I4_2,200000,79907
678654059,I4_2,200000,77005
776399798,I4_1,50000,17536
340231243,I4_1,50000,19708
11907040,I4_1,50000,20570
181527486,I4_1,50000,20791
696785437,I4_1,50000,20459
336690246,I4_1,50000,18252
991425836,I4_1,50000,17950
940079719,I4_2,200000,84130
477260294,I4_2,200000,81306
367659043,I4_1,50000,17669
102733915,I4_1,50000,17230
176461195,I4_1,50000,19041
217269761,I4_1,50000,19007
390393325,I4_1,50000,17211
930982780,I4_1,50000,19218
387566432,I4_1,50000,18213
131727800,I4_1,50000,17835
711945714,I4_2,200000,75218
614694543,I4_1,50000,20607
372940002,I4_1,50000,22536
588630068,I4_1,50000,24627
326312533,I4_1,50000,25528
368806991,I4_1,50000,19440
270396768,I4_1,50000,23707
12164010,I4_1,50000,23792
649810221,I4_1,50000,22449
223217311,I4_1,50000,24498
358980616,I4_1,50000,23497
360472472,I4_1,50000,20251
104516944,I4_2,200000,68901
67680673,I4_1,50000,23835
764586911,I4_1,50000,21710
440129,I4_2,200000,67907
767597985,I4_1,50000,21691
328449755,I4_1,50000,22071
408285155,I4_1,50000,24719
609976334,I4_2,200000,77879
281679710,I4_1,50000,28979
248847443,I4_1,50000,31053
714919368,I4_1,50000,33120
353451118,I4_1,50000,31512
774248233,I4_1,50000,33582
272698740,I4_1,50000,27707
2270196,I4_1,50000,29494
823002389,I4_2,200000,78863
554662316,I4_1,50000,29639
120703751,I4_1,50000,29291
547868421,I4_1,50000,29491
294343791,I4_1,50000,30673
64926432,I4_1,50000,29296
804980635,I4_1,50000,30672
199026980,I4_1,50000,29372
177432946,I4_1,50000,28292
835946456,I4_1,50000,29058
725279576,I4_1,50000,28035
205107070,I4_1,50000,28071
599718024,I4_2,200000,77203
417794398,I4_1,50000,27715
120249375,I4_1,50000,24526
786603142,I4_1,50000,25273
26055542,I4_1,50000,30479
508772,I4_1,50000,28453
739587073,I4_1,50000,30382
13606260,I4_1,50000,29650
221137984,I4_2,200000,92134
307935609,I4_2,200000,91041
51441823,I4_1,50000,34859
944203292,I4_1,50000,30691
514403271,I4_1,50000,28455
254293618,I4_1,50000,28386
706547362,I4_1,50000,25254
424367302,I4_1,50000,23289
872019060,I4_1,50000,24431
78975883,I4_1,50000,25267
434815672,I4_1,50000,27336
558355320,I4_1,50000,26144
719268369,I4_2,200000,97983
175999579,I4_2,200000,88494
885730069,I4_2,200000,90578
265066674,I4_2,200000,79698
796381305,I4_1,50000,34403
867552501,I4_1,50000,32991
172549068,I4_1,50000,24274
546519011,I4_1,50000,22847
929744137,I4_1,50000,21098
420498183,I4_1,50000,27368
746406586,I4_1,50000,25557
764237044,I4_2,200000,93656
769643889,I4_2,200000,92141
790283349,I4_2,200000,78492
18706560,I4_1,50000,30360
751181517,I4_1,50000,29810
959713572,I4_1,50000,30529
14307196,I4_1,50000,29025
985782384,I4_2,200000,83054
801391169,I4_2,200000,85903
247849474,I4_2,200000,86214
628508331,I4_1,50000,33799
165441524,I4_2,200000,87245
747956351,I4_1,50000,35074
263746690,I4_1,50000,25133
888904462,I4_1,50000,24021
744867195,I4_1,50000,22799
422655013,I4_1,50000,24147
761236114,I4_2,200000,96633
801100694,I4_2,200000,92464
830537756,I4_1,50000,30784
62635192,I4_1,50000,28849
363876412,I4_1,50000,28628
5709426,I4_1,50000,28315
60741710,I4_1,50000,29124
935929750,I4_1,50000,28846
415805218,I4_1,50000,28455
116193940,I4_1,50000,27419
99781235,I4_1,50000,28374
985774073,I4_1,50000,28686
609750858,I4_1,50000,30689
334976239,I4_2,200000,106761
184520264,I4_2,200000,101880
158118996,I4_1,50000,32799
185765031,I4_1,50000,34551
707633379,I4_2,200000,100975
973012878,I4_1,50000,34635
310573436,I4_1,50000,35074
622431598,I4_1,50000,30233
127723528,I4_1,50000,29610
321566090,I4_1,50000,31665
904071942,I4_1,50000,30349
741918186,I4_1,50000,29254
385495850,I4_1,50000,30411
766471547,I4_1,50000,32554
670013353,I4_1,50000,32565
756466339,I4_2,200000,103003
429456794,I4_2,200000,99939
663598791,I4_1,50000,33561
470251502,I4_1,50000,32739
212337048,I4_1,50000,31831
847230820,I4_1,50000,32380
770725716,I4_1,50000,26489
278157485,I4_1,50000,33885
646846048,I4_1,50000,35990
809862394,I4_2,200000,93384
682842144,I4_2,200000,98853
73824958,I4_1,50000,32703
422947340,I4_1,50000,34361
152773823,I4_1,50000,33481
687539602,I4_1,50000,34184
680645116,I4_1,50000,35461
456700373,I4_1,50000,34772
211347795,I4_1,50000,35765
255532434,I4_2,200000,86688
642463411,I4_1,50000,36831
173134294,I4_2,200000,88762
777816929,I4_2,200000,84005
763762446,I4_1,50000,45092
322837270,I4_1,50000,44790
81393665,I4_1,50000,43748
274121760,I4_1,50000,42766
808569401,I4_1,50000,41852
96036623,I4_1,50000,42065
258430532,I4_1,50000,41208
825282837,I4_1,50000,41145
577304880,I4_1,50000,40286
996661938,I4_1,50000,40932
255732233,I4_1,50000,41206
758431178,I4_1,50000,40957
372861329,I4_2,200000,97164
114199479,I4_2,200000,94669
462708673,I4_1,50000,33527
830658860,I4_1,50000,30049
919828823,I4_1,50000,28518
17804798,I4_1,50000,32786
354600076,I4_1,50000,30754
438247194,I4_2,200000,75834
430155291,I4_1,50000,27885
537422121,I4_1,50000,29826
341165732,I4_1,50000,23650
187675295,I4_1,50000,23775
171639757,I4_1,50000,25870
416461034,I4_2,200000,71569
480308465,I4_1,50000,28282
504376085,I4_1,50000,29488
608451912,I4_1,50000,26651
811744906,I4_1,50000,27617
95808961,I4_1,50000,27784
523454772,I4_1,50000,27381
543291013,I4_1,50000,24584
462071946,I4_1,50000,25553
321400309,I4_2,200000,89941
396698116,I4_1,50000,23218
317432540,I4_1,50000,24297
643297306,I4_1,50000,24248
335142512,I4_1,50000,26384
950342164,I4_2,200000,87944
413694794,I4_2,200000,78572
529210498,I4_1,50000,26707
194361650,I4_1,50000,25532
94271403,I4_1,50000,24979
922339517,I4_1,50000,25184
455687631,I4_1,50000,25708
454471926,I4_1,50000,26084
976063748,I4_1,50000,26822
376688957,I4_1,50000,23862
31282619,I4_2,200000,92197
29066770,I4_1,50000,22686
489697370,I4_1,50000,29608
151105269,I4_2,200000,100864
318781906,I4_1,50000,32351
40065746,I4_1,50000,28625
971016354,I4_2,200000,71178
67012026,I4_1,50000,23786
564878668,I4_1,50000,23424
119762008,I4_1,50000,22867
6463150,I4_1,50000,24919
176492176,I4_1,50000,25446
315835654,I4_2,200000,73199
645640443,I4_1,50000,27442
815007375,I4_1,50000,23006
161714241,I4_1,50000,23666
231667504,I4_2,200000,79803
413170177,I4_1,50000,18010
907533606,I4_1,50000,20065
976400378,I4_1,50000,21038
603490260,I4_1,50000,21067
511922149,I4_2,200000,85672
721290309,I4_2,200000,69122
981547220,I4_1,50000,23716
475260583,I4_1,50000,26680
717660944,I4_2,200000,70522
911444008,I4_1,50000,29568
852398727,I4_1,50000,29741
402869815,I4_1,50000,30855
83545176,I4_1,50000,31045
808063046,I4_1,50000,28072
189767804,I4_2,200000,70482
924298512,I4_1,50000,25557
844040928,I4_1,50000,24380
4106421,I4_1,50000,25503
736995809,I4_2,200000,71784
644852776,I4_1,50000,19277
891199565,I4_1,50000,20292
940967493,I4_1,50000,22892
512780479,I4_2,200000,75823
840443128,I4_1,50000,21108
655896774,I4_2,200000,67594
601638947,I4_1,50000,18375
3178385,I4_1,50000,16912
802404686,I4_1,50000,16946
107048026,I4_1,50000,18062
644418517,I4_1,50000,18066
86084622,I4_1,50000,17000
892958200,I4_1,50000,17355
865356858,I4_1,50000,19339
195711052,I4_1,50000,17940
592100747,I4_1,50000,17639
568790192,I4_1,50000,16805
127559955,I4_1,50000,19660
160349363,I4_1,50000,19738
987663178,I4_1,50000,20565
516924679,I4_2,200000,64901
298185698,I4_1,50000,18452
578376532,I4_1,50000,17540
449941772,I4_1,50000,18734
612370676,I4_1,50000,19051
678208483,I4_1,50000,18262
876777795,I4_1,50000,18159
258540551,I4_1,50000,18972
993001110,I4_1,50000,20158
898673684,I4_2,200000,67661
760600821,I4_1,50000,20953
233921462,I4_1,50000,19309
242360941,I4_1,50000,20576
443333440,I4_1,50000,22393
954757706,I4_1,50000,20240
404620246,I4_1,50000,18708
317346136,I4_1,50000,20723
191792900,I4_1,50000,20726
328021656,I4_1,50000,19529
547865387,I4_1,50000,18578
755759719,I4_2,200000,72989
754067905,I4_1,50000,20621
380591347,I4_1,50000,21926
363146827,I4_1,50000,23971
30166912,I4_1,50000,24875
691263495,I4_1,50000,21181
922754902,I4_1,50000,20680
94109622,I4_1,50000,20183
435118363,I4_1,50000,20807
912358877,I4_1,50000,21759
196031999,I4_2,200000,73468
429076851,I4_1,50000,22796
831972067,I4_1,50000,23734
643947706,I4_1,50000,24925
370379052,I4_1,50000,26902
348057739,I4_2,200000,68317
556825811,I4_1,50000,25776
64953456,I4_1,50000,24845
591842803,I4_1,50000,26473
643466500,I4_1,50000,26923
940041976,I4_1,50000,27803
349246682,I4_1,50000,29092
258308494,I4_2,200000,75125
492678078,I4_1,50000,30161
658388806,I4_1,50000,30924
879621693,I4_1,50000,33125
74933591,I4_1,50000,29438
807884652,I4_1,50000,27185
960655990,I4_1,50000,27388
151967807,I4_1,50000,28036
949486694,I4_2,200000,84409
908029836,I4_1,50000,27758
883532130,I4_1,50000,29806
474781204,I4_2,200000,78215
835288628,I4_1,50000,29734
485115996,I4_1,50000,27722
434035893,I4_1,50000,24762
860081698,I4_1,50000,23709
357261986,I4_1,50000,25760
794865583,I4_1,50000,23060
403284199,I4_2,200000,82193
169112419,I4_2,200000,76126
140911261,I4_1,50000,26163
975803157,I4_1,50000,22924
925931430,I4_1,50000,22599
963517276,I4_1,50000,20032
479371726,I4_1,50000,20705
375053276,I4_1,50000,18593
758548678,I4_1,50000,18231
421926462,I4_1,50000,18302
676644503,I4_1,50000,19299
805954999,I4_2,200000,91974
891016535,I4_1,50000,18433
733215399,I4_2,200000,75273
644512967,I4_1,50000,17265
64198451,I4_1,50000,16941
83081813,I4_1,50000,17005
52346209,I4_2,200000,79493
692383588,I4_1,50000,19235
151779293,I4_1,50000,19343
891883562,I4_1,50000,18788
656398242,I4_1,50000,17635
650230070,I4_1,50000,17148
733551158,I4_1,50000,16987
552214468,I4_1,50000,17071
399701716,I4_1,50000,19123
532889896,I4_1,50000,20002
721340336,I4_1,50000,19725
