service,caller,callee,weight
S_32048416,USER,MS_9570,13158.0
S_32048416,MS_9570,MS_20664,26075.0
S_32048416,MS_9570,MS_1303,3977.0
S_32048416,MS_20664,MS_68795,2905.0
S_32048416,MS_20664,MS_66431,9958.0
S_32048416,MS_20664,MS_66701,9818.0
S_32048416,MS_20664,MS_7103,6368.0
S_32048416,MS_20664,MS_55191,238.0
S_32048416,MS_20664,MS_42518,466.0
S_32048416,MS_20664,MS_37691,216.0
S_32048416,MS_20664,MS_62291,137.0
S_32048416,MS_20664,MS_69155,281.0
S_32048416,MS_66431,MS_37691,7749.0
S_32048416,MS_7103,MS_37691,4628.0
S_32048416,MS_69155,MS_7951,400.0
S_32048416,MS_7951,MS_7951,265.0
