service,caller,callee
S_86516878,MS_2842,MS_28737
S_86516878,MS_2842,MS_21883
S_86516878,MS_2842,MS_27421
S_86516878,MS_2842,MS_18495
S_86516878,MS_15284,MS_28467
S_86516878,MS_15284,MS_37691
S_86516878,MS_15284,MS_2842
S_86516878,MS_15284,MS_65374
S_86516878,MS_37027,MS_28467
S_86516878,MS_37027,MS_37691
S_86516878,MS_37027,MS_2842
S_86516878,MS_18473,MS_28467
S_86516878,MS_18473,MS_37691
S_86516878,MS_65374,MS_28737
S_86516878,USER,MS_53154
S_86516878,USER,MS_15284
S_86516878,USER,MS_37027
S_86516878,USER,MS_18473
S_86516878,MS_53154,MS_37691
S_86516878,MS_53154,MS_28467
S_86516878,MS_53154,MS_48904
