service,caller,callee,weight
S_21852643,MS_33798,MS_1242,3
S_21852643,MS_33798,MS_12483,1
S_21852643,MS_33798,MS_20061,3
S_21852643,MS_33798,MS_23405,3
S_21852643,MS_33798,MS_27120,2
S_21852643,MS_33798,MS_38729,4
S_21852643,MS_33798,MS_41532,2
S_21852643,MS_33798,MS_54341,3
S_21852643,MS_33798,MS_55971,1
S_21852643,MS_33798,MS_57290,3
S_21852643,MS_33798,MS_62106,2
S_21852643,MS_33798,MS_765,1
S_21852643,MS_37286,MS_16950,1
S_21852643,MS_37286,MS_70425,2
S_21852643,MS_73365,MS_16032,4
S_21852643,MS_73365,MS_16950,12
S_21852643,MS_73365,MS_19837,5
S_21852643,MS_73365,MS_23437,23
S_21852643,MS_73365,MS_29633,3
S_21852643,MS_73365,MS_30537,6
S_21852643,MS_73365,MS_33002,5
S_21852643,MS_73365,MS_50050,11
S_21852643,MS_73365,MS_70425,13
S_21852643,USER,MS_10701,27
S_21852643,USER,MS_1079,3
S_21852643,USER,MS_11083,5
S_21852643,USER,MS_1254,1
S_21852643,USER,MS_1433,247
S_21852643,USER,MS_14888,5
S_21852643,USER,MS_17687,3
S_21852643,USER,MS_22997,272
S_21852643,USER,MS_23276,1
S_21852643,USER,MS_23553,4
S_21852643,USER,MS_23651,4
S_21852643,USER,MS_24099,1
S_21852643,USER,MS_25492,121
S_21852643,USER,MS_25884,10
S_21852643,USER,MS_2621,132
S_21852643,USER,MS_30451,161
S_21852643,USER,MS_32171,83
S_21852643,USER,MS_33798,28
S_21852643,USER,MS_36819,20
S_21852643,USER,MS_37286,3
S_21852643,USER,MS_39324,163
S_21852643,USER,MS_39492,136
S_21852643,USER,MS_41342,18
S_21852643,USER,MS_42683,107
S_21852643,USER,MS_43473,32
S_21852643,USER,MS_43835,4
S_21852643,USER,MS_46079,41
S_21852643,USER,MS_46208,478
S_21852643,USER,MS_46278,38
S_21852643,USER,MS_46461,1
S_21852643,USER,MS_50411,125
S_21852643,USER,MS_53490,10
S_21852643,USER,MS_53926,3626
S_21852643,USER,MS_54559,3
S_21852643,USER,MS_55526,3
S_21852643,USER,MS_60882,587
S_21852643,USER,MS_64551,716
S_21852643,USER,MS_65235,131
S_21852643,USER,MS_67599,76
S_21852643,USER,MS_67926,11
S_21852643,USER,MS_68160,16
S_21852643,USER,MS_68986,3
S_21852643,USER,MS_7070,28
S_21852643,USER,MS_71149,7
S_21852643,USER,MS_72070,32
S_21852643,USER,MS_73365,82
S_21852643,USER,MS_7941,575
