service,trace_count,row_count,span_count,root_span_count,method_count,variant_count,stat_clamped_spans,stat_missing_parent_root_spans,stat_root_span_count,stat_row_count,stat_span_count,stat_trace_count
S_86516878,19953,135573,113557,34276,862,9412,63120,14325.0,34276,135573,113557,19953
S_130831269,17893,46181,35801,17893,58,89,1714,,17893,46181,35801,17893
S_32048416,10878,73617,55513,11291,20,85,1597,413.0,11291,73617,55513,10878
S_1823467,9577,10545,10324,9577,423,842,0,,9577,10545,10324,9577
S_51794709,9276,38412,36796,10273,295,513,10137,997.0,10273,38412,36796,9276
S_21852643,8180,9397,8293,8180,96,187,0,,8180,9397,8293,8180
S_156482560,7085,19601,11209,11209,6,22,0,10873.0,11209,19601,11209,7085
S_119456620,6188,34062,32015,6927,170,398,10219,740.0,6927,34062,32015,6188
S_156147254,3262,18367,18367,18231,615,1644,108,15636.0,18231,18367,18367,3262
S_36816397,2645,29081,29057,3560,37,701,0,944.0,3560,29081,29057,2645
S_17454060,2623,18179,14780,9106,220,768,1412,7812.0,9106,18179,14780,2623
S_14677443,2418,10454,10448,5605,16,34,4790,3188.0,5605,10454,10448,2418
S_5991695,2354,12313,11988,3978,59,141,44,1627.0,3978,12313,11988,2354
S_124848862,2314,2576,2314,2314,2,2,0,,2314,2576,2314,2314
S_92283722,2278,7749,7662,5130,10,79,1177,3590.0,5130,7749,7662,2278
S_122984786,2075,6947,6947,6947,5,57,0,6164.0,6947,6947,6947,2075
S_1798353,2035,2508,2035,2035,18,34,0,2035.0,2035,2508,2035,2035
S_40318420,1951,3310,3310,3310,13,39,0,1945.0,3310,3310,3310,1951
S_58367703,1818,29125,28194,9039,92,696,3552,7281.0,9039,29125,28194,1818
S_88923722,1778,3428,1807,1778,11,22,0,,1778,3428,1807,1778
S_98493745,1740,12413,12343,10088,28,261,1764,8348.0,10088,12413,12343,1740
S_137590631,1663,6888,6888,6888,16,44,0,5826.0,6888,6888,6888,1663
S_155382676,1655,3303,1682,1655,12,23,0,,1655,3303,1682,1655
S_110631735,1586,12424,8328,8328,3,32,0,8328.0,8328,12424,8328,1586
S_10694245,1438,2196,2196,2196,972,1939,0,962.0,2196,2196,2196,1438
