service,caller,callee,weight
S_32048416,MS_9570,MS_20664,1020219.0
S_32048416,MS_9570,MS_1303,194834.0
S_32048416,MS_9570,MS_52581,22.0
S_32048416,MS_9570,MS_65469,52.0
S_32048416,MS_9570,MS_49110,5.0
S_32048416,MS_9570,MS_34255,2.0
S_32048416,MS_20664,MS_7103,208732.0
S_32048416,MS_20664,MS_66701,434851.0
S_32048416,MS_20664,MS_66431,448554.0
S_32048416,MS_20664,MS_68795,64820.0
S_32048416,MS_20664,MS_69155,4111.0
S_32048416,MS_20664,MS_42518,16848.0
S_32048416,MS_20664,MS_62291,6459.0
S_32048416,MS_20664,MS_37691,9035.0
S_32048416,MS_20664,MS_27421,18.0
S_32048416,MS_20664,MS_28277,18.0
S_32048416,USER,MS_9570,513362.0
S_32048416,MS_7103,MS_37691,161754.0
S_32048416,MS_66431,MS_37691,345272.0
S_32048416,MS_69155,MS_7951,5226.0
S_32048416,MS_7951,MS_58542,5.0
S_32048416,MS_7951,MS_18750,2.0
S_32048416,MS_52581,MS_28427,11.0
S_32048416,MS_34255,MS_7103,2.0
S_32048416,MS_65469,MS_28427,28.0
S_32048416,MS_65469,MS_51152,7.0
