service,caller,callee,weight
combined,MS_15284,MS_2842,5949.0
combined,MS_15284,MS_28467,711496.0
combined,MS_15284,MS_37691,720690.0
combined,MS_15284,MS_65374,15.0
combined,MS_18473,MS_28467,3498.0
combined,MS_18473,MS_37691,3500.0
combined,MS_2842,MS_21883,2457.0
combined,MS_2842,MS_28737,28812.0
combined,MS_37027,MS_2842,19.0
combined,MS_37027,MS_28467,2903.0
combined,MS_37027,MS_37691,2950.0
combined,MS_52612,MS_11639,293.0
combined,MS_52612,MS_1329,512.0
combined,MS_52612,MS_37691,1142.0
combined,MS_53154,MS_28467,1027050.0
combined,MS_53154,MS_37691,1027343.0
combined,MS_53920,MS_11639,71.0
combined,MS_56394,MS_11639,50845.0
combined,MS_56394,MS_1329,89739.0
combined,MS_56394,MS_27421,163.0
combined,MS_56394,MS_37247,163.0
combined,MS_56394,MS_37691,210340.0
combined,MS_56394,MS_53920,20.0
combined,MS_56394,MS_73106,256.0
combined,MS_65374,MS_28737,36.0
combined,MS_73106,MS_11639,1194.0
combined,User_S_14677443,MS_56394,105795.0
combined,User_S_86516878,MS_15284,362594.0
combined,User_S_86516878,MS_18473,1769.0
combined,User_S_86516878,MS_37027,1485.0
combined,User_S_86516878,MS_53154,519483.0
