service,caller,callee,weight
S_1823467,USER,MS_30395,52.0
S_1823467,USER,MS_43575,135.0
S_1823467,USER,MS_68183,123.0
S_1823467,USER,MS_61761,6.0
S_1823467,USER,MS_51779,344.0
S_1823467,USER,MS_52835,130.0
S_1823467,USER,MS_69065,575.0
S_1823467,USER,MS_67364,1146.0
S_1823467,USER,MS_63403,303.0
S_1823467,USER,MS_39166,27.0
S_1823467,USER,MS_57045,368.0
S_1823467,USER,MS_50685,72.0
S_1823467,USER,MS_60350,883.0
S_1823467,USER,MS_26433,447.0
S_1823467,USER,MS_1732,1234.0
S_1823467,USER,MS_13613,151.0
S_1823467,USER,MS_2597,72.0
S_1823467,USER,MS_50417,83.0
S_1823467,USER,MS_10779,98.0
S_1823467,USER,MS_36025,71.0
S_1823467,USER,MS_47481,217.0
S_1823467,USER,MS_42046,46.0
S_1823467,USER,MS_6464,34.0
S_1823467,USER,MS_50849,156.0
S_1823467,USER,MS_58994,24.0
S_1823467,USER,MS_64287,102.0
S_1823467,USER,MS_48127,8.0
S_1823467,USER,MS_6770,205.0
S_1823467,USER,MS_31410,18.0
S_1823467,USER,MS_47249,26.0
S_1823467,USER,MS_18223,27.0
S_1823467,USER,MS_52925,35.0
S_1823467,USER,MS_1210,49.0
S_1823467,USER,MS_22119,27.0
S_1823467,USER,MS_16559,8.0
S_1823467,USER,MS_8607,10.0
S_1823467,USER,MS_43027,5.0
S_1823467,USER,MS_37645,2.0
S_1823467,USER,MS_46987,3.0
S_1823467,USER,MS_71189,16.0
S_1823467,USER,MS_2471,11.0
S_1823467,USER,MS_6228,137.0
S_1823467,USER,MS_64954,6.0
S_1823467,USER,MS_9767,8.0
S_1823467,USER,MS_58312,10.0
S_1823467,USER,MS_21638,6.0
S_1823467,USER,MS_50442,13.0
S_1823467,USER,MS_41050,6.0
S_1823467,USER,MS_16,2.0
S_1823467,USER,MS_45664,2.0
S_1823467,USER,MS_14860,1.0
S_1823467,USER,MS_22882,1.0
S_1823467,MS_68183,MS_9077,5.0
S_1823467,MS_68183,MS_60131,4.0
S_1823467,MS_68183,MS_7526,7.0
S_1823467,MS_68183,MS_6567,5.0
S_1823467,MS_68183,MS_22205,11.0
S_1823467,MS_68183,MS_44223,6.0
S_1823467,MS_68183,MS_72156,12.0
S_1823467,MS_68183,MS_21009,11.0
S_1823467,MS_68183,MS_68104,4.0
S_1823467,MS_68183,MS_35440,15.0
S_1823467,MS_68183,MS_63972,7.0
S_1823467,MS_68183,MS_15154,7.0
S_1823467,MS_68183,MS_25836,5.0
S_1823467,MS_68183,MS_1860,12.0
S_1823467,MS_68183,MS_21664,3.0
S_1823467,MS_68183,MS_43995,4.0
S_1823467,MS_68183,MS_26561,2.0
S_1823467,MS_68183,MS_616,3.0
S_1823467,MS_51779,MS_47185,5.0
S_1823467,MS_51779,MS_616,10.0
S_1823467,MS_51779,MS_44223,11.0
S_1823467,MS_51779,MS_28715,11.0
